team,group,expected_points,expected_goal_difference,expected_goals_for,expected_goals_against,prob_finish_1st,prob_finish_2nd,prob_finish_3rd,prob_finish_4th,prob_top2,prob_best_third,prob_eliminated_from_3rd,prob_eliminated_from_4th,current_points,current_goal_difference
Mexico,A,8.14454,4.18902,5.02046,0.83144,0.94124,0.05876,0.0,0.0,1.0,0.0,0.0,0.0,6,3
South Korea,A,5.1432,1.18324,4.01586,2.83262,0.05876,0.7681,0.151,0.02214,0.82686,0.1327,0.018299999999999983,0.02214,3,0
South Africa,A,1.65352,-3.18324,1.83262,5.01586,0.0,0.13044,0.2284,0.64116,0.13044,0.0218,0.2066,0.64116,1,-2
Czechia,A,1.6524,-2.18902,2.83144,5.02046,0.0,0.0427,0.6206,0.3367,0.0427,0.12746,0.49314,0.3367,1,-1
Switzerland,B,5.53394,3.23938,6.42998,3.1906,0.42562,0.5636,0.01078,0.0,0.98922,0.01078,0.0,0.0,4,3
Canada,B,5.20898,5.76062,8.1906,2.42998,0.57438,0.42486,0.00076,0.0,0.99924,0.00076,0.0,0.0,4,6
Bosnia and Herzegovina,B,2.86654,-2.26756,3.71696,5.98452,0.0,0.01148,0.76906,0.21946,0.01148,0.5343,0.23475999999999997,0.21946,1,-3
Qatar,B,1.89592,-6.73244,1.98452,8.71696,0.0,6e-05,0.2194,0.78054,6e-05,0.21924,0.00016000000000002124,0.78054,1,-6
Morocco,C,6.43932,2.79282,4.47344,1.68062,0.3626,0.61574,0.02166,0.0,0.97834,0.02166,0.0,0.0,4,1
Brazil,C,6.06684,4.05342,5.9301,1.87668,0.5981,0.24768,0.15422,0.0,0.84578,0.15422,0.0,0.0,4,3
Scotland,C,3.71966,-1.05342,1.87668,2.9301,0.0393,0.13658,0.80814,0.01598,0.17588,0.69658,0.11155999999999999,0.01598,3,0
Haiti,C,0.40916,-5.79282,0.68062,6.47344,0.0,0.0,0.01598,0.98402,0.0,0.0126,0.003380000000000001,0.98402,0,-4
United States,D,7.485,5.17186,7.38598,2.21412,0.99094,0.00906,0.0,0.0,1.0,0.0,0.0,0.0,6,5
Paraguay,D,4.4208,-1.9269,3.33124,5.25814,0.00172,0.38558,0.49676,0.11594,0.3873,0.41406,0.0827,0.11594,3,-2
Australia,D,4.3203,-0.0731,3.25814,3.33124,0.00734,0.60536,0.32474,0.06256,0.6127,0.28716,0.03757999999999995,0.06256,3,0
Turkey,D,1.25388,-3.17186,1.21412,4.38598,0.0,0.0,0.1785,0.8215,0.0,0.16096,0.01754,0.8215,0,-3
Germany,E,7.75072,7.55334,10.61064,3.0573,0.99524,0.00476,0.0,0.0,1.0,0.0,0.0,0.0,6,7
Ivory Coast,E,5.32132,1.53798,4.27942,2.74144,0.00476,0.86194,0.10526,0.02804,0.8667,0.09574,0.00952,0.02804,3,0
Ecuador,E,2.00474,-1.55334,1.0573,2.61064,0.0,0.05038,0.7797,0.16992,0.05038,0.21912,0.56058,0.16992,1,-1
Curacao,E,1.50578,-7.53798,1.74144,9.27942,0.0,0.08292,0.11504,0.80204,0.08292,0.02798,0.08706,0.80204,1,-6
Netherlands,F,6.5625,6.13178,9.7522,3.62042,0.68442,0.31302,0.00256,0.0,0.9974400000000001,0.00256,0.0,0.0,4,4
Japan,F,6.0691,5.05588,7.93204,2.87616,0.2836,0.55158,0.16482,0.0,0.83518,0.16482,0.0,0.0,4,4
Sweden,F,3.71646,-1.05588,6.87616,7.93204,0.03198,0.1354,0.8325,0.00012,0.16738,0.76286,0.06964000000000004,0.00012,3,0
Tunisia,F,0.31154,-10.13178,1.62042,11.7522,0.0,0.0,0.00012,0.99988,0.0,6e-05,6e-05,0.99988,0,-8
Belgium,G,4.33056,1.54596,3.28182,1.73586,0.39766,0.36378,0.15984,0.07872,0.76144,0.12846,0.03138000000000002,0.07872,2,0
Egypt,G,4.01642,0.4206,3.85898,3.43838,0.28498,0.2155,0.28526,0.21426,0.50048,0.24152,0.04374,0.21426,1,0
Iran,G,3.57708,0.294,3.44854,3.15454,0.24028,0.26896,0.37068,0.12008,0.5092399999999999,0.21316,0.15752000000000002,0.12008,2,0
New Zealand,G,2.40764,-2.26056,3.7257,5.98626,0.07708,0.15176,0.18422,0.58694,0.22884,0.13072,0.05349999999999999,0.58694,1,0
Spain,H,6.25218,5.38652,6.16826,0.78174,0.87118,0.07284,0.05598,0.0,0.94402,0.05598,0.0,0.0,4,4
Cape Verde,H,3.56766,0.27878,3.44536,3.16658,0.02754,0.59038,0.18372,0.19836,0.61792,0.08518,0.09853999999999999,0.19836,2,0
Uruguay,H,2.56078,-1.38652,3.78174,5.16826,0.10128,0.06758,0.70942,0.12172,0.16886,0.19622,0.5132000000000001,0.12172,2,0
Saudi Arabia,H,2.17736,-4.27878,2.16658,6.44536,0.0,0.2692,0.05088,0.67992,0.2692,0.03822,0.012660000000000005,0.67992,1,-4
France,I,7.5945,5.3556,7.8615,2.5059,0.7384,0.24208,0.01882,0.0007,0.9804799999999999,0.01854,0.000279999999999999,0.0007,3,2
Norway,I,5.52884,2.6445,6.50138,3.85688,0.24894,0.54538,0.20308,0.0026,0.7943199999999999,0.19672,0.0063600000000000045,0.0026,3,3
Senegal,I,3.16316,-1.34506,4.06336,5.40842,0.01174,0.20352,0.62738,0.15736,0.21526,0.4569,0.17048000000000008,0.15736,0,-2
Iraq,I,0.918,-6.65504,2.41294,9.06798,0.00092,0.00902,0.15072,0.83934,0.009940000000000001,0.08738,0.06334,0.83934,0,-3
Argentina,J,7.857,6.85486,8.221,1.36614,0.84654,0.14538,0.00762,0.00046,0.9919199999999999,0.00752,0.00010000000000000026,0.00046,3,3
Austria,J,5.33892,1.2744,5.38458,4.11018,0.14678,0.63826,0.2087,0.00626,0.7850400000000001,0.18754,0.021159999999999984,0.00626,3,2
Algeria,J,2.94634,-2.70762,2.82304,5.53066,0.00536,0.19946,0.52932,0.26586,0.20482,0.35154,0.17778,0.26586,0,-3
Jordan,J,1.08274,-5.42164,2.51222,7.93386,0.00132,0.0169,0.25436,0.72742,0.01822,0.13374,0.12061999999999998,0.72742,0,-2
Colombia,K,6.67624,3.48428,6.5273,3.04302,0.64722,0.26662,0.07762,0.00854,0.91384,0.07566,0.0019599999999999895,0.00854,3,2
Portugal,K,4.61078,1.36774,4.45882,3.09108,0.2913,0.44562,0.1961,0.06698,0.73692,0.1313,0.0648,0.06698,1,0
DR Congo,K,2.9285,-1.41646,3.0702,4.48666,0.05042,0.18962,0.41646,0.3435,0.24004,0.27314,0.14332,0.3435,1,0
Uzbekistan,K,1.89556,-3.43556,3.05044,6.486,0.01106,0.09814,0.30982,0.58098,0.1092,0.23128,0.07853999999999997,0.58098,0,-2
England,L,8.1501,6.46056,9.67734,3.21678,0.95334,0.03912,0.00658,0.00096,0.99246,0.0065,8.000000000000021e-05,0.00096,3,2
Croatia,L,4.22678,0.3224,6.04152,5.71912,0.02298,0.66904,0.19976,0.10822,0.69202,0.14608,0.053680000000000005,0.10822,0,-2
Ghana,L,3.72566,-3.13286,2.28974,5.4226,0.0193,0.21812,0.62758,0.135,0.23742000000000002,0.41612,0.21146000000000004,0.135,3,1
Panama,L,1.24668,-3.6501,1.64616,5.29626,0.00438,0.07372,0.16608,0.75582,0.07809999999999999,0.12316,0.04292,0.75582,0,-1
