team,group,elo,effective_rating,current_group_points,current_group_goal_difference,expected_group_points,expected_group_goal_difference,expected_group_goals_for,expected_group_goals_against,prob_finish_1st,prob_finish_2nd,prob_finish_3rd,prob_finish_4th,prob_top2,prob_advance_as_third,prob_round_of_32,prob_round_of_16,prob_quarter_final,prob_semi_final,prob_final,prob_champion,prob_exit_group,prob_exit_round_of_32,prob_exit_round_of_16,prob_exit_quarter_final,prob_exit_semi_final,prob_runner_up,prob_win_given_round_of_32,prob_win_given_quarter_final,champion_ci_low,champion_ci_high,path_difficulty_index,most_likely_round_of_32_opponents,most_likely_round_of_16_opponents,strongest_factors_helping,biggest_weaknesses_or_risks
Argentina,J,2128.0,2165.3,3,3,7.857,6.85486,8.221,1.36614,0.84654,0.14538,0.00762,0.00046,0.9919199999999999,0.00752,0.99944,0.85662,0.72202,0.54332,0.36536,0.23208,0.0005600000000000049,0.14281999999999995,0.13460000000000005,0.17869999999999997,0.17796,0.13328,0.23221003762106782,0.32143153929254037,0.22840027458606452,0.2358008919099113,1913.5,Cape Verde 50.4%; Saudi Arabia 22.7%; Spain 18.9%,Australia 25.0%; Paraguay 16.7%; Belgium 16.5%,elite Elo baseline; positive recent form; healthy current goal difference,player/tactical inputs not populated
Spain,H,2134.0,2156.2,4,4,6.25218,5.38652,6.16826,0.78174,0.87118,0.07284,0.05598,0.0,0.94402,0.05598,1.0,0.74756,0.57248,0.46502,0.30738,0.18856,0.0,0.25244,0.17508,0.10746,0.15764,0.11881999999999998,0.18856,0.32937395192845165,0.18515531778670422,0.1920125356527804,1943.9,Austria 56.5%; Argentina 18.9%; Algeria 17.5%,Portugal 21.2%; Croatia 20.2%; Colombia 12.9%,elite Elo baseline; banked group-stage points; positive recent form,player/tactical inputs not populated
France,I,2084.0,2121.4,3,2,7.5945,5.3556,7.8615,2.5059,0.7384,0.24208,0.01882,0.0007,0.9804799999999999,0.01854,0.99902,0.84896,0.5835,0.40644,0.24294,0.14098,0.0009799999999999809,0.15005999999999997,0.26546000000000003,0.17706,0.16350000000000003,0.10196,0.1411182959300114,0.2416109682947729,0.13795721202993558,0.1440579521809678,1945.1,Sweden 53.2%; Ivory Coast 20.7%; Japan 11.4%,Germany 44.1%; Brazil 8.7%; Paraguay 7.1%,elite Elo baseline; positive recent form; healthy current goal difference,player/tactical inputs not populated
England,L,2055.0,2076.8,3,2,8.1501,6.46056,9.67734,3.21678,0.95334,0.03912,0.00658,0.00096,0.99246,0.0065,0.99896,0.78494,0.51834,0.32588,0.1704,0.0906,0.001040000000000041,0.21402,0.26659999999999995,0.19246000000000002,0.15548,0.0798,0.09069432209497878,0.17478874869776595,0.08811534103726423,0.09314756417120279,1945.8,DR Congo 26.9%; Uzbekistan 22.5%; Portugal 14.4%,Mexico 48.3%; Scotland 11.4%; Brazil 4.8%,elite Elo baseline; positive recent form; healthy current goal difference,player/tactical inputs not populated
Colombia,K,1998.0,2005.8,3,2,6.67624,3.48428,6.5273,3.04302,0.64722,0.26662,0.07762,0.00854,0.91384,0.07566,0.9895,0.74692,0.45602,0.21588,0.10614,0.04824,0.010499999999999954,0.24258000000000002,0.29090000000000005,0.24014,0.10973999999999999,0.0579,0.04875189489641232,0.10578483399850884,0.046396273120738775,0.05015314079469128,1920.2,Ghana 33.7%; Croatia 27.4%; Panama 10.0%,Canada 17.8%; Switzerland 14.7%; Spain 12.9%,elite Elo baseline; healthy current goal difference,player/tactical inputs not populated
Brazil,C,1986.0,2020.0,4,3,6.06684,4.05342,5.9301,1.87668,0.5981,0.24768,0.15422,0.0,0.84578,0.15422,1.0,0.5775,0.35966,0.18458,0.08742,0.03964,0.0,0.4225,0.21784000000000003,0.17507999999999999,0.09716,0.047779999999999996,0.03964,0.11021520324751155,0.0379648360934121,0.04138589923089146,1974.2,Japan 40.0%; Netherlands 35.7%; Mexico 10.7%,Norway 14.4%; Ivory Coast 8.8%; France 8.7%,elite Elo baseline; banked group-stage points; positive recent form,player/tactical inputs not populated
Germany,E,1954.0,1997.8,6,7,7.75072,7.55334,10.61064,3.0573,0.99524,0.00476,0.0,0.0,1.0,0.0,1.0,0.70464,0.324,0.1901,0.09022,0.03852,0.0,0.29535999999999996,0.38064000000000003,0.13390000000000002,0.09988,0.051699999999999996,0.03852,0.11888888888888888,0.03686826539316697,0.04024264202159454,1951.9,Paraguay 36.8%; Australia 25.2%; Scotland 15.4%,France 44.1%; Norway 12.2%; Sweden 7.6%,elite Elo baseline; positive recent form; banked group-stage points,player/tactical inputs not populated
Portugal,K,1967.0,1995.2,1,0,4.61078,1.36774,4.45882,3.09108,0.2913,0.44562,0.1961,0.06698,0.73692,0.1313,0.86822,0.60392,0.3148,0.16936,0.08226,0.0365,0.13178,0.2643,0.28912,0.14544,0.08710000000000001,0.04576,0.04204003593559236,0.11594663278271918,0.03489150762892786,0.03817971016326672,1936.8,Croatia 34.5%; Ghana 21.6%; England 14.4%,Spain 21.2%; Canada 8.0%; Switzerland 6.4%,elite Elo baseline; positive recent form,limited group-stage margin; player/tactical inputs not populated
Netherlands,F,1972.0,1988.0,4,4,6.5625,6.13178,9.7522,3.62042,0.68442,0.31302,0.00256,0.0,0.9974400000000001,0.00256,1.0,0.5653,0.36986,0.16846,0.07574,0.0314,0.0,0.4347,0.19544,0.20140000000000002,0.09272,0.044340000000000004,0.0314,0.08489698804953225,0.029906985324278698,0.03296501609410832,1954.1,Morocco 53.5%; Brazil 35.7%; Scotland 10.6%,Switzerland 15.1%; South Korea 12.4%; Canada 10.4%,elite Elo baseline; banked group-stage points; healthy current goal difference,player/tactical inputs not populated
Mexico,A,1896.0,1973.7,6,3,8.14454,4.18902,5.02046,0.83144,0.94124,0.05876,0.0,0.0,1.0,0.0,1.0,0.67514,0.29724,0.14798,0.0611,0.02572,0.0,0.32486000000000004,0.37789999999999996,0.14926,0.08688,0.03538,0.02572,0.08652940384874176,0.02436846265571549,0.027144411507136833,1953.6,Scotland 51.9%; Brazil 10.7%; Ecuador 7.2%,England 48.3%; Portugal 3.6%; DR Congo 2.2%,strong Elo baseline; host-region advantage; banked group-stage points,player/tactical inputs not populated
