team,stage,probability,ci_low,ci_high
Argentina,champion,0.23208,0.22840027458606452,0.2358008919099113
Spain,champion,0.18856,0.18515531778670422,0.1920125356527804
France,champion,0.14098,0.13795721202993558,0.1440579521809678
England,champion,0.0906,0.08811534103726423,0.09314756417120279
Colombia,champion,0.04824,0.046396273120738775,0.05015314079469128
Brazil,champion,0.03964,0.0379648360934121,0.04138589923089146
Germany,champion,0.03852,0.03686826539316697,0.04024264202159454
Portugal,champion,0.0365,0.03489150762892786,0.03817971016326672
Netherlands,champion,0.0314,0.029906985324278698,0.03296501609410832
Mexico,champion,0.02572,0.02436846265571549,0.027144411507136833
Japan,champion,0.02294,0.02166390365237567,0.024289397663577624
Norway,champion,0.02002,0.018828613494299103,0.02128513648606241
United States,champion,0.01248,0.011543684871265721,0.013491223646643031
Austria,champion,0.01162,0.010717438615917374,0.01259760204287873
Belgium,champion,0.011,0.010122580276287258,0.011952555646869494
Switzerland,champion,0.01018,0.009336981149624576,0.011098280768331742
Morocco,champion,0.01006,0.009222133328223171,0.010973147027996497
Croatia,champion,0.00518,0.00458766367758881,0.005848366501340482
Canada,champion,0.0051,0.00451251307111457,0.0057635293999902925
Senegal,champion,0.00294,0.0025020958728082096,0.003454278487036975
Paraguay,champion,0.00282,0.002391830011518748,0.0033245627865897878
Uruguay,champion,0.00196,0.0016087139716964539,0.002387810967299433
Australia,champion,0.00188,0.00153665884671251,0.0022998783844589447
Ecuador,champion,0.00176,0.0014288984263106821,0.0021676572431241245
Iran,champion,0.00164,0.0013215601743057632,0.002035013933392394
South Korea,champion,0.00136,0.001073025702190729,0.0017235914281219153
Algeria,champion,0.00114,0.0008800793451529599,0.0014765715886424949
Scotland,champion,0.00102,0.0007759302995114471,0.0013407390725473593
Ivory Coast,champion,0.00098,0.0007414161540326908,0.001295259364113899
Egypt,champion,0.00056,0.00038748906264430454,0.0008092509894240149
Sweden,champion,0.00036,0.0002277369906560485,0.00056903379185119
Turkey,champion,0.00036,0.0002277369906560485,0.00056903379185119
DR Congo,champion,0.00014,6.781800868034618e-05,0.000288986577309703
Uzbekistan,champion,0.00012,5.499744914591923e-05,0.0002618102098880219
Czechia,champion,8e-05,3.111036046966462e-05,0.0002057034446520603
Jordan,champion,4e-05,1.0969281687106633e-05,0.00014585066952240206
Panama,champion,2e-05,3.530409009447142e-06,0.00011329261524395344
Bosnia and Herzegovina,champion,0.0,0.0,7.682609729729246e-05
Cape Verde,champion,0.0,0.0,7.682609729729246e-05
Curacao,champion,0.0,0.0,7.682609729729246e-05
Ghana,champion,0.0,0.0,7.682609729729246e-05
Haiti,champion,0.0,0.0,7.682609729729246e-05
Iraq,champion,0.0,0.0,7.682609729729246e-05
New Zealand,champion,0.0,0.0,7.682609729729246e-05
Qatar,champion,0.0,0.0,7.682609729729246e-05
Saudi Arabia,champion,0.0,0.0,7.682609729729246e-05
South Africa,champion,0.0,0.0,7.682609729729246e-05
Tunisia,champion,0.0,0.0,7.682609729729246e-05
Argentina,final,0.36536,0.3611496883198997,0.3695909994115806
Spain,final,0.30738,0.30335050525491514,0.3114390912308076
France,final,0.24294,0.23920072539307136,0.24671877244007112
England,final,0.1704,0.1671297076257451,0.1737209361375933
Colombia,final,0.10614,0.10347030727821371,0.1088702101751493
Germany,final,0.09022,0.08774012674921129,0.09276283684708968
Brazil,final,0.08742,0.08497580971949686,0.08992758410294896
Portugal,final,0.08226,0.07988359068508111,0.08470059598268884
Netherlands,final,0.07574,0.07345329382187173,0.07809189465820697
Mexico,final,0.0611,0.05903409911341758,0.06323333883478999
Norway,final,0.0563,0.05431345508114945,0.05835472039759217
Japan,final,0.05604,0.05405786693395567,0.05809034849435654
United States,final,0.04378,0.04202133186378544,0.045608767340432496
Austria,final,0.03616,0.0345589163767581,0.03783235365718265
Belgium,final,0.03404,0.03248601117856976,0.03566558459802354
Switzerland,final,0.0331,0.031567412568105836,0.03470432764155037
Morocco,final,0.03028,0.028813703217891756,0.031818470290953214
Canada,final,0.01904,0.017878499990423864,0.02027540056908835
Croatia,final,0.01844,0.017297200413598234,0.01965679233723074
Senegal,final,0.01146,0.010563859189141619,0.012431206054005618
Paraguay,final,0.0107,0.00983500776937386,0.01164017424944127
Australia,final,0.0092,0.008400019376602048,0.010075393120504974
Uruguay,final,0.00748,0.006761668765199712,0.008274008013682013
Iran,final,0.00724,0.006533795644602628,0.008021918010805802
South Korea,final,0.00682,0.006135520628510759,0.007580257560819398
Ecuador,final,0.00608,0.005435521897352983,0.006800369994601175
Algeria,final,0.0055,0.004888634805846426,0.0061873462043805965
Scotland,final,0.00446,0.003912779403444811,0.00508336140506459
Ivory Coast,final,0.00398,0.0034649318330433926,0.004571282728519414
Egypt,final,0.00334,0.0028710094901127753,0.003885303408854571
Sweden,final,0.0023,0.0019166255896477795,0.0027598471076019458
Turkey,final,0.00152,0.0012146907238391475,0.0019019018221223616
DR Congo,final,0.00088,0.0006556329669321354,0.001181057916433914
Czechia,final,0.00072,0.0005201429585989996,0.000996572509118185
Cape Verde,final,0.00054,0.0003711613628468173,0.0007855817622653941
Uzbekistan,final,0.00048,0.0003225917075783642,0.0007141606366655231
Panama,final,0.00036,0.0002277369906560485,0.00056903379185119
Jordan,final,0.0002,0.00010864203419457872,0.0003681533326637948
Bosnia and Herzegovina,final,0.00016,8.107715732448164e-05,0.0003157243556216757
Ghana,final,0.00016,8.107715732448164e-05,0.0003157243556216757
Saudi Arabia,final,0.00012,5.499744914591923e-05,0.0002618102098880219
Iraq,final,8e-05,3.111036046966462e-05,0.0002057034446520603
New Zealand,final,8e-05,3.111036046966462e-05,0.0002057034446520603
Curacao,final,0.0,0.0,7.682609729729246e-05
Haiti,final,0.0,0.0,7.682609729729246e-05
Qatar,final,0.0,0.0,7.682609729729246e-05
South Africa,final,0.0,0.0,7.682609729729246e-05
Tunisia,final,0.0,0.0,7.682609729729246e-05
Argentina,quarter_final,0.72202,0.7180761332148541,0.7259297529249021
France,quarter_final,0.5835,0.5791725996333281,0.5878145704084232
Spain,quarter_final,0.57248,0.5681381935373133,0.5768106697516224
England,quarter_final,0.51834,0.5139590150685424,0.5227181669502089
Colombia,quarter_final,0.45602,0.4516578392575316,0.46038891836598667
United States,quarter_final,0.42228,0.41795671004728835,0.42661523180127553
Netherlands,quarter_final,0.36986,0.3656385131527912,0.37410148314381336
Brazil,quarter_final,0.35966,0.35546441441792703,0.36387714913106234
Germany,quarter_final,0.324,0.3199114558204507,0.32811558696579796
Norway,quarter_final,0.31658,0.312517074094153,0.32067110879137944
Portugal,quarter_final,0.3148,0.3107433971501078,0.31888505923633115
Mexico,quarter_final,0.29724,0.2932495415829682,0.3012616129360078
Japan,quarter_final,0.29448,0.2905005725607572,0.2984910060382759
Switzerland,quarter_final,0.27926,0.27534460914718867,0.2832093080382461
Belgium,quarter_final,0.23924,0.23552063811154095,0.2429994282347216
Morocco,quarter_final,0.22634,0.22269312624603313,0.23002892221353968
Canada,quarter_final,0.21388,0.21030786606942892,0.21749609689648852
Austria,quarter_final,0.20138,0.19788780772992315,0.20491807588842675
Senegal,quarter_final,0.12822,0.12531796371945775,0.13117916109344868
South Korea,quarter_final,0.11984,0.11702239310375025,0.12271601931454683
Croatia,quarter_final,0.1152,0.11243104912133788,0.11802807624314211
Iran,quarter_final,0.10986,0.1071488449930362,0.11263110087416292
Australia,quarter_final,0.09082,0.08833257648014674,0.09337029492483746
Paraguay,quarter_final,0.08592,0.0834952370726447,0.08840838722809302
Egypt,quarter_final,0.08068,0.0783248969582001,0.0830995324800373
Ivory Coast,quarter_final,0.07808,0.07576055071298769,0.08046427822095566
Algeria,quarter_final,0.07366,0.07140294171997245,0.07598256635667101
Uruguay,quarter_final,0.0706,0.06838753108263684,0.07287844716972205
Scotland,quarter_final,0.06618,0.0640341133423731,0.06839254405268594
Ecuador,quarter_final,0.0539,0.051954649613407886,0.05591389463060077
Sweden,quarter_final,0.04446,0.042688051982139756,0.046301942738585865
DR Congo,quarter_final,0.02682,0.0254398302556951,0.028272874889743164
Bosnia and Herzegovina,quarter_final,0.0248,0.023472920981382355,0.02620009454148899
Czechia,quarter_final,0.02098,0.01976007929229051,0.022273523181964183
Cape Verde,quarter_final,0.02024,0.019042011404294137,0.021511704772584565
Turkey,quarter_final,0.01418,0.013180337874984793,0.015254309434193147
Uzbekistan,quarter_final,0.01268,0.011736009171244472,0.013698868616225362
New Zealand,quarter_final,0.01012,0.009279553316127297,0.0110357178209607
Panama,quarter_final,0.00954,0.008724832723861082,0.010430527531499778
Ghana,quarter_final,0.00884,0.008056416107348483,0.009699051704548595
Jordan,quarter_final,0.0088,0.008018258899465622,0.00965721505851924
Saudi Arabia,quarter_final,0.00518,0.00458766367758881,0.005848366501340482
Iraq,quarter_final,0.00386,0.00335327071896779,0.004442962280858368
South Africa,quarter_final,0.00258,0.002171941020491921,0.0030644886541433174
Qatar,quarter_final,0.00188,0.00153665884671251,0.0022998783844589447
Curacao,quarter_final,0.00064,0.0004533993903366731,0.000903328369556079
Haiti,quarter_final,8e-05,3.111036046966462e-05,0.0002057034446520603
Tunisia,quarter_final,0.0,0.0,7.682609729729246e-05
Argentina,round_of_16,0.85662,0.853520681209165,0.8596645233451988
France,round_of_16,0.84896,0.8457944183228405,0.8520719632073339
England,round_of_16,0.78494,0.7813167995550909,0.7885194187885813
