team,group,attack_rating,clean_sheet_10,clean_sheet_20,clean_sheet_5,defense_rating,effective_rating,elo,ga_10,ga_20,ga_5,gd_10,gd_20,gd_5,gf_10,gf_20,gf_5,known_optional_features,matches_10,matches_20,matches_5,penalty_rating,ppg_10,ppg_20,ppg_5,rating_uncertainty,strong_ppg_10,strong_ppg_20,strong_ppg_5,component_elo,component_host_advantage,component_injury_suspension,component_recent_form,component_squad_tactical_country
Algeria,J,1794.2666666666667,0.8,0.8,0.8,1793.9266666666665,1784.8166666666666,1759.0,0.6,0.6,0.6,1.8,1.8,1.8,2.4,2.4,2.4,0.0,5.0,5.0,5.0,1784.2093333333332,2,2,2,58.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,-41.0,0.0,0.0,25.816666666666663,0.0
Argentina,J,2178.8,0.8,0.8,0.8,2178.01,2165.3,2128.0,0.2,0.2,0.2,2.8,2.8,2.8,3,3,3,0.0,5.0,5.0,5.0,2179.9120000000003,3,3,3,58.0,1.0,1.0,1.0,328.0,0.0,0.0,37.3,0.0
Australia,D,1807.5,0.3333333333333333,0.3333333333333333,0.2,1809.4266666666667,1806.15,1799.0,0.8333333333333334,0.8333333333333334,1,0.6666666666666666,0.6666666666666666,0.6,1.5,1.5,1.6,0.0,6.0,6.0,5.0,1806.3960000000002,1.6666666666666667,1.6666666666666667,1.4,58.0,1,1,1,-1.0,0.0,0.0,7.15,0.0
Austria,J,1904.6499999999999,0.5,0.5,0.5,1901.9099999999999,1894.3,1857.0,0.5,0.5,0.5,2,2,2,2.5,2.5,2.5,0.0,4.0,4.0,4.0,1898.072,3,3,3,58.0,1.0,1.0,1.0,57.0,0.0,0.0,37.3,0.0
Belgium,G,1906.5,0.5,0.5,0.6,1903.76,1897.65,1869.0,0.6666666666666666,0.6666666666666666,0.4,1.6666666666666667,1.6666666666666667,1.4,2.3333333333333335,2.3333333333333335,1.8,0.0,6.0,6.0,5.0,1901.556,2,2,1.8,58.0,2.3333333333333335,2.3333333333333335,2,69.0,0.0,0.0,28.650000000000002,0.0
Bosnia and Herzegovina,B,1569.8333333333333,0.16666666666666666,0.16666666666666666,0.2,1571.9266666666667,1574.4833333333333,1596.0,1.3333333333333333,1.3333333333333333,1.4,-0.5,-0.5,-0.6,0.8333333333333334,0.8333333333333334,0.8,0.0,6.0,6.0,5.0,1565.4626666666668,0.8333333333333334,0.8333333333333334,0.8,58.0,0.5,0.5,0.5,-204.0,0.0,0.0,-21.516666666666666,0.0
Brazil,C,2031.8333333333333,0.16666666666666666,0.16666666666666666,0.2,2018.9266666666667,2019.9833333333333,1986.0,1.1666666666666667,1.1666666666666667,1,1.5,1.5,2,2.6666666666666665,2.6666666666666665,3,0.0,6.0,6.0,5.0,2028.7826666666667,2.1666666666666665,2.1666666666666665,2.6,58.0,1.3333333333333333,1.3333333333333333,2,186.0,0.0,0.0,33.98333333333333,0.0
Canada,B,1841.3333333333333,0.5,0.5,0.6,1841.5933333333332,1835.4833333333333,1777.0,0.6666666666666666,0.6666666666666666,0.4,1.3333333333333333,1.3333333333333333,1.6,2,2,2,0.0,6.0,6.0,5.0,1836.9026666666666,1.6666666666666667,1.6666666666666667,1.8,58.0,1.0,1.0,1.0,-23.0,42.0,0.0,16.483333333333334,0.0
Cape Verde,H,1638.3333333333333,0.5,0.5,0.6,1635.5933333333332,1633.9833333333333,1625.0,1.1666666666666667,1.1666666666666667,0.6,0.6666666666666666,0.6666666666666666,1.2,1.8333333333333333,1.8333333333333333,1.8,0.0,6.0,6.0,5.0,1627.3426666666667,1.5,1.5,1.8,58.0,1,1,1,-175.0,0.0,0.0,8.983333333333334,0.0
Colombia,K,2011.6999999999998,0.2,0.2,0.2,2002.9599999999998,2005.85,1998.0,1.4,1.4,1.4,0.6,0.6,0.6,2,2,2,0.0,5.0,5.0,5.0,2014.0839999999998,1.8,1.8,1.8,58.0,0,0,0,198.0,0.0,0.0,7.850000000000001,0.0
